"관측소","관측일시","표층수온(℃)","표층 염분(psu)","표층 DO(mg/L)","표층수심(m)","중충수온(℃)","중충염분(psu)","중충DO(mg/L)","중층수심(m)","저층수온(℃)","저층 염분(psu)","저층 DO(mg/L)","저층수심(m)"
군산 비안도(bgbi5),"2020-06-01 00:00",17.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 01:00",17.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 02:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 03:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 04:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 05:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 06:00",17.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 07:00",17.3,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 08:00",17.4,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 09:00",17.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 10:00",18.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 11:00",18.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 12:00",18.7,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 14:00",18.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 15:00",18.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 16:00",18.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 17:00",18.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 18:00",17.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 19:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 20:00",17.6,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 21:00",18,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 22:00",18,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-01 23:00",18,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 00:00",18,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 01:00",17.9,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 02:00",18,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 03:00",17.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 04:00",17.8,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 05:00",17.5,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 06:00",17.1,,,1,,,,,,,,
군산 비안도(bgbi5),"2020-06-02 07:00",17,,,1,,,,,,,,
